oa_code,oa_desc,grade,subject,source_url,scraped_at
MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.420748
MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T16:25:05.421249
