oa_code,oa_desc,grade,subject,source_url,scraped_at
MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.679530
MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.679530
MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.679530
MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.680538
MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.680538
MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.680538
MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.680538
MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.681585
MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.681585
MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:14:08.681585
LE01OA01,Reconocer que los textos escritos transmiten mensajes y que son escritos por alguien para cumplir un propósito.,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.925969
LE01OA02,Reconocer que las palabras son unidades de significado separadas por espacios en el texto escrito.,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.927089
LE01OA03,"Identificar los sonidos que componen las palabras (conciencia fonológica), reconociendo, separando y combinando sus fonemas y sílabas.",1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.927089
LE01OA04,"Leer palabras aisladas y en contexto, aplicando su conocimiento de la correspondencia letra-sonido en diferentes combinaciones: sílaba directa, indirecta o compleja y dígrafos rr-ll-ch-qu.",1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.927089
LE01OA05,Leer textos breves en voz alta para adquirir fluidez,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.927089
LE01OA06,Comprender textos aplicando estrategias de comprensión lectora,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.928110
LE01OA07,Leer independientemente y ampliar repertorio literario,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.928110
LE01OA08,Comprender narraciones que aborden temas que les sean familiares,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:14:44.928110
