oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,enriched_at
MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.","Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia a...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.804247
MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).","Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.804247
MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.","Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.804247
MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.","Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto ...",1B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:16:22.805251
MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.","Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:16:22.805251
MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.","Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólic...",1B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.805251
MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:16:22.805251
MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.","Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pic...",1B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T15:16:22.805251
MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:16:22.805251
MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.","Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y ...",1B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T15:16:22.806416
LE01OA01,Reconocer que los textos escritos transmiten mensajes y que son escritos por alguien para cumplir un propósito.,Reconocer que los textos escritos transmiten mensajes y que son escritos por alguien para cumplir un...,1B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.806416
LE01OA02,Reconocer que las palabras son unidades de significado separadas por espacios en el texto escrito.,Reconocer que las palabras son unidades de significado separadas por espacios en el texto escrito.,1B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.806416
LE01OA03,"Identificar los sonidos que componen las palabras (conciencia fonológica), reconociendo, separando y combinando sus fonemas y sílabas.","Identificar los sonidos que componen las palabras (conciencia fonológica), reconociendo, separando y...",1B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.806416
LE01OA04,"Leer palabras aisladas y en contexto, aplicando su conocimiento de la correspondencia letra-sonido en diferentes combinaciones: sílaba directa, indirecta o compleja y dígrafos rr-ll-ch-qu.","Leer palabras aisladas y en contexto, aplicando su conocimiento de la correspondencia letra-sonido e...",1B,LEN,Recordar,mantener,2023,1,2,4,normal,False,2025-07-07T15:16:22.806416
LE01OA05,Leer textos breves en voz alta para adquirir fluidez,Leer textos breves en voz alta para adquirir fluidez,1B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.806416
LE01OA06,Comprender textos aplicando estrategias de comprensión lectora,Comprender textos aplicando estrategias de comprensión lectora,1B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:16:22.807675
LE01OA07,Leer independientemente y ampliar repertorio literario,Leer independientemente y ampliar repertorio literario,1B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T15:16:22.807675
LE01OA08,Comprender narraciones que aborden temas que les sean familiares,Comprender narraciones que aborden temas que les sean familiares,1B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T15:16:22.807675
