oa_code,oa_desc,grade,subject,source_url,scraped_at
MA01OA01,"Contar números del 0 al 100 de 1 en 1, de 2 en 2, de 5 en 5 y de 10 en 10,  hacia adelante y hacia atrás, empezando por cualquier número menor que 100.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.063864
MA01OA02,"Identificar el orden de los elementos de una serie, utilizando números ordinales del primero (1º) al décimo (10º).",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.063864
MA01OA03,"Leer números del 0 al 20 y representarlos en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.063864
MA01OA04,"Comparar y ordenar números del 0 al 20 de menor a mayor y/o viceversa, utilizando material concreto y/o usando software educativo.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA05,"Estimar cantidades hasta 20 en situaciones concretas, usando un referente.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA06,"Componer y descomponer números del 0 a 20 de manera aditiva, en forma concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA07,Aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA08,"Determinar las unidades y decenas en números del 0 al 20, agrupando de a 10, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA09,Demostrar que comprenden la adición y la sustracción de números del 0 al 20 progresivamente,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.064938
MA01OA10,"Demostrar que la adición y la sustracción son operaciones inversas, de manera concreta, pictórica y simbólica.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA11,"Reconocer, describir, crear y continuar patrones repetitivos (sonidos, figuras, ritmos...) y patrones numéricos hasta el 20, crecientes y decrecientes, usando material concreto, pictórico y simbólico, de manera manual y/o por medio de software educativo.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA12,"Describir y registrar la igualdad y la desigualdad como equilibrio y desequilibrio, usando una balanza en forma concreta, pictórica y simbólica del 0 al 20, usando el símbolo igual (=).",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA13,"Describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, usando un lenguaje común (como derecha e izquierda).",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA14,"Identificar en el entorno figuras 3D y figuras 2D y relacionarlas, usando material concreto.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA15,Identificar y dibujar líneas rectas y curvas.,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA16,Usar unidades no estandarizadas de tiempo para comparar la duración de eventos cotidianos.,1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA17,"Usar un lenguaje cotidiano para secuenciar eventos en el tiempo: días de la semana, meses del año y algunas fechas significativas.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA18,"Identificar y comparar la longitud de objetos, usando palabras como largo y corto.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.066015
MA01OA19,"Recolectar y registrar datos para responder preguntas estadísticas sobre sí mismo y el entorno, usando bloques, tablas de conteo y pictogramas.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.067036
MA01OA20,"Construir, leer e interpretar pictogramas.",1B,MAT,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/matematica/1-basico,2025-07-07T15:47:44.067036
LE01OA01,Reconocer que los textos escritos transmiten mensajes y que son escritos por alguien para cumplir un propósito.,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:47:45.224187
LE01OA02,Reconocer que las palabras son unidades de significado separadas por espacios en el texto escrito.,1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:47:45.224187
LE01OA03,"Identificar los sonidos que componen las palabras (conciencia fonológica), reconociendo, separando y combinando sus fonemas y sílabas.",1B,LEN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/lenguaje-comunicacion/1-basico?priorizacion=0,2025-07-07T15:47:45.224187
