oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,enriched_at
MA02OA01,"Contar números del 0 al 1 000 de 2 en 2, de 5 en 5, de 10 en 10 y de 100 en 100, hacia adelante y hacia atrás, empezando por cualquier número menor que 1 000.","Contar números del 0 al 1 000 de 2 en 2, de 5 en 5, de 10 en 10 y de 100 en 100, hacia adelante y ha...",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.502327
MA02OA02,"Leer números del 0 al 100 y representarlos en forma concreta, pictórica y simbólica.","Leer números del 0 al 100 y representarlos en forma concreta, pictórica y simbólica.",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.502327
MA02OA03,"Comparar y ordenar números del 0 al 100 de menor a mayor y viceversa, usando material concreto y monedas nacionales de manera manual y/o por medio de software educativo.","Comparar y ordenar números del 0 al 100 de menor a mayor y viceversa, usando material concreto y mon...",2B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.502327
MA02OA04,"Estimar cantidades hasta 100 en situaciones concretas, usando un referente.","Estimar cantidades hasta 100 en situaciones concretas, usando un referente.",2B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.502327
MA02OA05,"Componer y descomponer números del 0 a 100 de manera aditiva, en forma concreta, pictórica y simbólica.","Componer y descomponer números del 0 a 100 de manera aditiva, en forma concreta, pictórica y simbóli...",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.502327
MA02OA06,Describir y aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20:,Describir y aplicar estrategias de cálculo mental para adiciones y sustracciones hasta 20:,2B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.502327
MA02OA07,"Identificar las unidades y decenas en números del 0 al 100, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico.","Identificar las unidades y decenas en números del 0 al 100, representando las cantidades de acuerdo ...",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.502327
MA02OA08,"Demostrar y explicar de manera concreta, pictórica y simbólica el efecto de sumar y restar 0 a un número.","Demostrar y explicar de manera concreta, pictórica y simbólica el efecto de sumar y restar 0 a un nú...",2B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.502327
MA02OA09,Demostrar que comprende la adición y la sustracción en el ámbito del 0 al 100:,Demostrar que comprende la adición y la sustracción en el ámbito del 0 al 100:,2B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.503328
MA02OA10,"Demostrar que comprende la relación entre la adición y la sustracción al usar la ""familia de operaciones"" en cálculos aritméticos y la resolución de problemas.","Demostrar que comprende la relación entre la adición y la sustracción al usar la ""familia de operaci...",2B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.503328
