oa_code,oa_desc,grade,subject,source_url,scraped_at
AR01OA01,"Expresar y crear trabajos de arte a partir de la observación del: entorno natural: paisaje, animales y plantas; entorno cultural: vida cotidiana y familiar; entorno artístico: obras de arte local, chileno, latinoamericano y del resto del mundo.",1B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/1-basico?priorizacion=0,2025-07-07T16:40:48.473866
AR01OA02,"Experimentar y aplicar elementos del lenguaje visual en sus trabajos de arte: línea (gruesa, delgada, recta, ondulada e irregular); color (puros, mezclados, fríos y cálidos); textura (visual y táctil).",1B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/1-basico?priorizacion=0,2025-07-07T16:40:48.473866
AR01OA03,"Expresar emociones e ideas en sus trabajos de arte a partir de la experimentación con: materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales; herramientas para dibujar, pintar, cortar, modelar, unir y tecnológicas (pincel, tijera, esteca, computador, entre otras); procedimientos de dibujo, pintura, collage, escultura, dibujo digital y otros.",1B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/1-basico?priorizacion=0,2025-07-07T16:40:48.473866
AR01OA04,"Observar y comunicar oralmente sus primeras impresiones de lo que sienten y piensan de obras de arte por variados medios. (Observar anualmente al menos 10 obras de arte local o chileno, 10 latinoamericanas y 10 de arte universal).",1B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/1-basico?priorizacion=0,2025-07-07T16:40:48.473866
AR01OA05,"Explicar sus preferencias frente al trabajo de arte personal y de sus pares, usando elementos del lenguaje visual.",1B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/1-basico?priorizacion=0,2025-07-07T16:40:48.473866
AR02OA01,"Expresar y crear trabajos de arte a partir de la observación del: entorno natural: figura humana y paisajes chilenos; entorno cultural: personas y patrimonio cultural de Chile; entorno artístico: obras de arte local, chileno, latinoamericano y del resto del mundo.",2B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/2-basico?priorizacion=0,2025-07-07T16:40:49.623512
AR02OA02,"Experimentar y aplicar elementos de lenguaje visual (incluidos los del nivel anterior) en sus trabajos de arte: línea (vertical, horizontal, diagonal, espiral y quebrada); color (primarios y secundarios); formas (geométricas).",2B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/2-basico?priorizacion=0,2025-07-07T16:40:49.623512
AR02OA03,"Expresar emociones e ideas en sus trabajos de arte, a partir de la experimentación con:materiales de modelado, de reciclaje, naturales, papeles, cartones, pegamentos, lápices, pinturas, textiles e imágenes digitales; herramientas para dibujar, pintar, cortar, modelar, unir y tecnológicas (pincel, tijera, mirete, computador, entre otras); procedimientos de dibujo, pintura, collage, escultura, dibujo digital, entre otros.",2B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/2-basico?priorizacion=0,2025-07-07T16:40:49.623512
AR02OA04,"Comunicar y explicar sus impresiones de lo que sienten y piensan de obras de arte por variados medios. (Observar anualmente al menos 10 obras de arte local o chileno, 10 latinoamericanas y 10 de arte universal).",2B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/2-basico?priorizacion=0,2025-07-07T16:40:49.624509
AR02OA05,"Explicar sus preferencias frente al trabajo de arte personal y de sus pares, usando elementos del lenguaje visual.",2B,ART,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/artes-visuales/2-basico?priorizacion=0,2025-07-07T16:40:49.624509
