oa_code,oa_desc,grade,subject,source_url,scraped_at
EN04OA01,"Comprender textos leídos por un adulto o en formato audiovisual, breves y simples, como: rimas y chants; canciones; cuentos; diálogos.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.232396
EN04OA02,"Comprender textos orales relacionados con temas conocidos o de otras asignaturas -la escuela, animales salvajes, partes de la casa y muebles, figuras geométricas, ocupaciones, lugares en la ciudad, comida, celebraciones (Easter)-, y que contengan las siguientes funciones: seguir y dar instrucciones; presentarse y presentar a otros; expresar habilidad, sentimientos, posesión y cantidades hasta el veinte; describir animales y objetos en un lugar; describir acciones que suceden al momento de hablar.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA03,"Demostrar comprensión de textos orales: identificando personajes, objetos y animales -la escuela, animales salvajes, partes de la casa y muebles, figuras geométricas, ocupaciones, lugares en la ciudad, comida, celebraciones (Easter)-; siguiendo instrucciones simples; identificando palabras, expresiones de uso muy frecuente y vocabulario aprendido. Identificando sonidos propios del inglés que pueden interferir en la comprensión, como /s/-/z/, /w/-/th/.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA04,Escuchar textos orales y aplicar estrategias para apoyar la comprensión; por ejemplo: hacer predicciones; hacer conexiones con conocimientos previos; relacionar el texto con imágenes; focalizar la atención en palabras clave.,4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA05,"Reaccionar a lo escuchado, estableciendo relaciones con experiencias personales y/o expresando preferencias, sentimientos u opiniones, por medio de: dibujos y representaciones (figuras); mímicas y acciones; dramatizaciones; palabras o frases escritas.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA06,"Leer y demostrar comprensión de textos como cuentos, rimas, chants, tarjetas de saludo, instrucciones y textos informativos, identificando: ideas generales del texto; personajes y acciones; vocabulario aprendido, palabras conocidas y expresiones de uso muy frecuente (I want...; Here!).",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA07,"Leer y demostrar comprensión de textos relacionados con temas conocidos o de otras asignaturas -la escuela, animales salvajes, partes de la casa y muebles, figuras geométricas, ocupaciones, lugares en la ciudad, comida, celebraciones (Easter)-, y con las siguientes funciones: seguir y dar instrucciones; presentarse y presentar a otros; expresar habilidad, sentimientos, posesión y cantidades hasta el veinte; describir animales y objetos en un lugar; describir acciones que suceden al momento de hablar; solicitar y dar información sobre ocupaciones, comida y ubicación de personas y objetos.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA08,"Leer y aplicar estrategias para apoyar la comprensión; por ejemplo: hacer predicciones; establecer relaciones con conocimientos previos; relacionar el texto con las imágenes que lo acompañan; releer o leer a otros en voz alta, dibujar o recontar con ayuda.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA09,"Reaccionar a lo leído, estableciendo relaciones con experiencias personales y/o expresando preferencias, sentimientos u opiniones por medio de: ilustraciones y representaciones (figuras); dramatizaciones; palabras o frases escritas.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA10,"Reproducir chants, rimas y diálogos muy breves y simples para familiarizarse con los sonidos propios del inglés: identificar los sonidos /w/, /th/ en particular y /s/-/z/ en particular.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA11,"Participar en diálogos, interacciones de la clase y exposiciones muy breves y simples, acerca de temas conocidos o de otras asignaturas: usando apoyo del docente y de objetos, gestos e imágenes impresas o en formato digital; usando vocabulario aprendido y expresiones de uso muy frecuente (Por ejemplo: How do you say?? I'm?).",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA12,"Expresarse oralmente con el apoyo del docente para: compartir información personal; expresar habilidad y cantidades hasta el veinte; identificar y describir animales, comida, ocupaciones y lugares (en la escuela); expresar prohibición; solicitar y dar información sobre comida y ubicación de objetos; describir acciones que ocurren al momento de hablar.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.233393
EN04OA13,"Escribir (por ejemplo: copiar o completar) palabras y oraciones simples de acuerdo a un modelo, acerca de temas conocidos o de otras asignaturas.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.234390
EN04OA14,"Escribir, sobre la base de imágenes, para: identificar animales, acciones, objetos y partes de la casa, ocupaciones, lugares, comida; expresar sentimientos; expresar cantidades en números hasta el veinte; describir ubicación de objetos y acciones que ocurren al momento de hablar.",4B,ING_PROP,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles-propuesta/4-basico?priorizacion=0,2025-07-07T16:53:53.234390
