oa_code,oa_desc,grade,subject,source_url,scraped_at
CN06OA01,"Explicar, a partir de una investigación experimental, los requerimientos de agua, dióxido de carbono y energía lumínica para la producción de azúcar y liberación de oxígeno en la fotosíntesis, comunicando sus resultados y los aportes de científicos en este campo a través del tiempo.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.692773
CN06OA02,"Representar, por medio de modelos, la transferencia de energía y materia desde los organismos fotosintéticos a otros seres vivos por medio de cadenas y redes alimentarias en diferentes ecosistemas.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA03,Analizar los efectos de la actividad humana sobre las redes alimentarias.,6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA04,Identificar y describir las funciones de las principales estructuras del sistema reproductor humano femenino y masculino.,6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA05,"Describir y comparar los cambios que se producen en la pubertad en mujeres y hombres, reconociéndola, como una etapa del desarrollo humano.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA06,Reconocer los beneficios de realizar actividad física en forma regular y de cuidar la higiene corporal en el período de la pubertad.,6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA07,"Investigar y comunicar los efectos nocivos de algunas drogas para la salud, proponiendo conductas de protección.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA08,"Explicar que la energía es necesaria para que los objetos cambien y los seres vivos realicen sus procesos vitales y que la mayoría de los recursos energéticos proviene directa o indirectamente del Sol, dando ejemplos de ello.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA09,"Investigar en forma experimental la transformación de la energía de una forma a otra, dando ejemplos y comunicando sus conclusiones.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA10,"Demostrar, por medio de la investigación experimental, que el calor fluye de un objeto caliente a uno frío hasta que ambos alcanzan la misma temperatura.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.693925
CN06OA11,Clasificar los recursos naturales energéticos en no renovables y renovables y proponer medidas para el uso responsable de la energía.,6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA12,"Explicar, a partir de modelos, que la materia está formada por partículas en movimiento en sus estados sólido, líquido y gaseoso.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA13,"Demostrar, mediante la investigación experimental, los cambios de estado de la materia, como fusión, evaporación, ebullición, condensación, solidificación y sublimación.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA14,"Diferenciar entre calor y temperatura, considerando que el calor es una forma de energía y la temperatura es una medida de lo caliente de un objeto.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA15,"Medir e interpretar la información obtenida al calentar y enfriar el agua, considerando las transformaciones de un estado a otro.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA16,"Describir las características de las capas de la Tierra (atmósfera, litósfera e hidrósfera) que posibilitan el desarrollo de la vida y proveen recursos para el ser humano, y proponer medidas de protección de dichas capas.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA17,"Investigar experimentalmente la formación del suelo, sus propiedades (como color, textura y capacidad de retención de agua) y la importancia de protegerlo de la contaminación, comunicando sus resultados.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
CN06OA18,"Explicar las consecuencias de la erosión sobre la superficie de la Tierra, identificando los agentes que la provocan, como el viento, el agua y las actividades humanas.",6B,CN,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/6-basico?priorizacion=0,2025-07-07T16:55:02.694927
