oa_code,oa_desc,grade,subject,source_url,scraped_at
EF06OA01,"Demostrar la aplicación de las habilidades motrices básicas adquiridas, en una variedad de actividades deportivas; por ejemplo: realizar un giro sobre una viga de equilibrio, lanzar un balón hacia la portería y correr una distancia determinada (por ejemplo, 50 o 100 metros).",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA02,Ejecutar juegos colectivos y deportes que requieran tomar decisiones y evaluar las estrategias utilizadas para perfeccionar su juego; por ejemplo: aplicar las orientaciones dadas por el entrenador durante el tiempo solicitado o parcial reglamentado durante el juego.,6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA03,"Practicar deportes individuales y colectivos que apliquen reglas y estrategias específicas del juego; por ejemplo: generar superioridad numérica, cambiar la posición o la función de los jugadores durante el partido.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA04,"Planificar y ejecutar actividades físicas y deportivas, utilizando diversos entornos y aplicando medidas para conservar limpios y ordenados los espacios; por ejemplo: planificar un campamento, incluyendo actividades deportivas.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA05,"Demostrar la correcta ejecución de una danza nacional, utilizando pasos básicos y música folclórica de forma individual o grupal; por ejemplo: danzas de la zona norte, central, sur e Isla de Pascua.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA06,"Ejecutar actividades físicas de intensidad moderada a vigorosa que desarrollen la condición física por medio de la práctica de ejercicios de resistencia cardiovascular, fuerza, flexibilidad y velocidad, estableciendo metas de superación personal.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA07,"Practicar y planificar de forma regular actividades físicas y/o deportivas de intensidad moderada a vigorosa, como planificar un partido, participar en una caminata, corrida o cicletada familiar e integrar talleres deportivos.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.700972
EF06OA08,"Determinar la intensidad del esfuerzo físico de forma manual, mediante el pulso o utilizando escalas de percepción de esfuerzo.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.702251
EF06OA09,"Practicar actividades físicas en forma segura, demostrando la adquisición de hábitos de higiene, posturales y de vida saludable, como ducharse después de realizar actividad física, utilizar una ropa distinta para la clase, mantener una correcta postura, utilizar protectores solares e hidratarse con agua antes, durante y después de la clase.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.702251
EF06OA10,"Practicar actividades físicas y/o juegos colectivos, demostrando responsabilidad, liderazgo y respeto al participar; por ejemplo: conversar y plantear discrepancias, aceptar las diferencias individuales e intentar llegar a acuerdos, jugar en forma cooperativa, aceptar el resultado y manejar el triunfo.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.702251
EF06OA11,"Practicar actividades físicas y/o deportivas, demostrando comportamientos seguros y un manejo adecuado de los materiales y los procedimientos, como: realizar un calentamiento específico individual o grupal; usar ropa adecuada para la actividad; cuidar sus pertenencias; manipular de forma segura los implementos y las instalaciones.",6B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/6-basico?priorizacion=0,2025-07-07T16:55:15.702251
