oa_code,oa_desc,grade,subject,source_url,scraped_at
EF01OA01,"Demostrar habilidades motrices básicas de locomoción, manipulación y estabilidad en una variedad de juegos y actividades físicas, como saltar con dos pies consecutivamente en una dirección, lanzar un balón hacia un compañero, caminar y correr consecutivamente, lanzar y recoger un balón, caminar sobre una línea manteniendo el control del cuerpo, realizar suspensiones, giros y rodadas o volteos.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.410799
EF01OA02,"Ejecutar acciones motrices con relación a sí mismo, a un objeto o un compañero, usando diferentes categorías de ubicación espacial y temporal, como derecha, izquierda, adelante, atrás, arriba, abajo, adentro, afuera, entre, al lado, antes, durante, después, rápido y lento.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.410799
EF01OA03,"Practicar una amplia gama de juegos con y sin oposición, con y sin colaboración, de persecución, individuales y colectivos.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA04,"Ejecutar habilidades motrices básicas en diferentes entornos, como las plazas activas, el patio del colegio, parques, playas, entre otros.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA05,"Ejecutar movimientos corporales, expresando sensaciones, ideas, estados de ánimo y emociones en variados espacios y a diferentes ritmos.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA06,"Ejecutar actividades físicas de intensidad moderada a vigorosa que incrementen la condición física, por medio de juegos y circuitos.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA07,"Practicar en su vida cotidiana actividades físicas de intensidad moderada a vigorosa de forma guiada, por medio de juegos tradicionales y actividades lúdicas.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA08,"Reconocer las sensaciones y respuestas corporales provocadas por la práctica de actividad física, como cambios del color de la piel, sudor, agitación, ritmo de respiración, cansancio y dificultad al hablar.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA09,"Practicar actividades físicas en forma segura, demostrando la adquisición de hábitos de higiene, posturales y de vida saludable, como lavarse las manos y la cara después de la clase, mantener una correcta postura y comer una colación saludable antes y después de practicar actividad física.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA10,"Practicar juegos o actividades motrices para aprender a trabajar en equipo, asumiendo diferentes roles (respetar al otro, recoger los materiales solicitados o liderar si se le asigna ese rol).",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF01OA11,"Practicar actividades físicas, demostrando comportamientos seguros como: realizar un calentamiento mediante un juego; escuchar y seguir instrucciones; utilizar implementos bajo supervisión; mantener su posición dentro de los límites establecidos para la actividad.",1B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/1-basico?priorizacion=0,2025-07-07T16:40:37.411797
EF02OA01,"Demostrar habilidades motrices básicas de locomoción, manipulación y estabilidad en diferentes direcciones, alturas y niveles, como saltar de forma continua en un pie y luego en el otro, botear un balón mientras camina, mantener el equilibrio sobre una base a una pequeña altura, realizar suspensiones, giros y rodadas o volteos.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.567069
EF02OA02,"Ejecutar acciones motrices que presenten una solución a un problema, por ejemplo, agrupaciones, representaciones de símbolos, letras, números o figuras geométricas.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.567069
EF02OA03,"Practicar una amplia gama de juegos con y sin oposición, con y sin colaboración, de persecución, individuales y colectivos.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.567069
EF02OA04,"Ejecutar habilidades motrices básicas en diferentes entornos, como plazas activas, patio del colegio, playa, entre otros, utilizando referencias (rutas, mapas, símbolos, etc.) guiados por el profesor.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.567069
EF02OA05,"Ejecutar movimientos corporales, expresando sensaciones, ideas, estados de ánimo y emociones en variados espacios y a diferentes ritmos e intensidades.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.567069
EF02OA06,Ejecutar actividades físicas de intensidad moderada a vigorosa que incrementen la condición física por medio de juegos y circuitos.,2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF02OA07,"Ejecutar e incorporar a su vida cotidiana juegos y actividades físicas de intensidad moderada a vigorosa (cinco veces por semana), como juegos tradicionales, saltar la cuerda y realizar caminatas al aire libre.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF02OA08,"Describir las sensaciones y respuestas corporales provocadas por la práctica de actividad física, como cambios del color de la piel, sudor, agitación, ritmo de respiración, cansancio y dificultad al hablar.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF02OA09,"Practicar actividades físicas en forma segura, demostrando la adquisición de hábitos de higiene, posturales y de vida saludable, como lavarse las manos y la cara después de la clase, mantener una correcta postura y comer una colación saludable antes y luego de la práctica de actividad física.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF02OA10,"Practicar juegos o actividades motrices para aprender a trabajar en equipo, asumiendo diferentes roles (respetar al otro, recoger los materiales solicitados o liderar si se le asigna ese rol).",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF02OA11,"Practicar actividades físicas, demostrando comportamientos seguros, como: realizar un calentamiento mediante un juego; escuchar y seguir instrucciones; utilizar implementos bajo supervisión; mantener su posición dentro de los límites establecidos para la actividad.",2B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/2-basico?priorizacion=0,2025-07-07T16:40:38.568573
EF03OA01,"Demostrar capacidad para ejecutar de forma combinada las habilidades motrices básicas de locomoción, manipulación y estabilidad en diferentes direcciones, alturas y niveles, ejemplo, correr y lanzar un objeto con una mano, caminar sobre una línea y realizar un giro de 180° en un pie.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA02,"Ejecutar acciones motrices que presenten una solución a un problema, reconociendo diversos criterios (tiempo, espacio y números de personas), por ejemplo, juegos de uno contra uno, juegos en grupos reducidos y juegos con superioridad numérica.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA03,"Practicar juegos pre-deportivos con reglas y espacios adaptados, aplicando los principios generales de juego, como avanzar y retroceder en bloque, recuperar el balón, acompañar la jugada y la visión periférica.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA04,"Ejecutar actividades físicas y/o lúdicas en diferentes entornos, aplicando medidas para conservar limpios y ordenados los espacios, por ejemplo: jugar en plazas activas; jugar un partido en la plaza o la playa; realizar caminatas en el entorno natural; andar en bicicleta en un parque o en un camino rural.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA05,"Ejecutar movimientos o elementos de danzas tradicionales de forma coordinada, utilizando actividades rítmicas y lúdicas de forma individual o grupal.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA06,"Ejecutar actividades físicas de intensidad moderada a vigorosa que desarrollen la condición física por medio de la práctica de ejercicios de resistencia cardiovascular, fuerza, flexibilidad y velocidad, mejorando sus resultados personales.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.723093
EF03OA07,"Practicar de manera regular y autónoma actividades físicas de intensidad moderada a vigorosa, como saltar la cuerda y caminar hasta el colegio.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.724222
EF03OA08,"Describir y registrar las respuestas corporales provocadas por la práctica de actividad física, como aumento de la frecuencia cardiaca y respiratoria.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.724222
EF03OA09,"Practicar actividades físicas en forma segura, demostrando la adquisición de hábitos de higiene, posturales y de vida saludable, como utilizar protección solar, lavarse y cambiarse de ropa después de la clase, hidratarse con agua, comer una colación saludable después de la práctica de actividad física.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.724222
EF03OA10,"Practicar actividades físicas y/o juegos colectivos con responsabilidad y honestidad, cumpliendo las reglas, los roles asignados y los principios de un juego limpio.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.724222
EF03OA11,"Practicar actividades físicas, demostrando comportamientos seguros, como: participar en actividades de calentamiento en forma apropiada; escuchar y seguir instrucciones; mantener su posición dentro de los límites establecidos para la actividad; asegurar que el espacio está libre de obstáculos.",3B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/3-basico?priorizacion=0,2025-07-07T16:40:39.724222
EF04OA01,"Demostrar control en la ejecución de las habilidades motrices básicas de locomoción, manipulación y estabilidad en diferentes direcciones, alturas y niveles; por ejemplo: atrapar un objeto con una mano a diferentes alturas, desplazarse botando un objeto en zigzag y saltar, caminar sobre una base a una pequeña altura y realizar un giro de 360° en un solo pie.",4B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/4-basico?priorizacion=0,2025-07-07T16:40:40.881725
EF04OA02,"Ejecutar juegos colectivos y crear estrategias con el apoyo del docente para resolver problemas en relación con el tiempo, el espacio y el número de personas; por ejemplo: dar cinco pases sin que el equipo rival lo intercepte o sin que el objeto caiga.",4B,EDF,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/educacion-fisica-salud/4-basico?priorizacion=0,2025-07-07T16:40:40.881725
