oa_code,oa_desc,grade,subject,source_url,scraped_at
IN05OA01,"Escuchar y demostrar comprensión de información explícita en textos adaptados y auténticos simples, tanto no literarios (textos expositivos, diálogos) como literarios (rimas, canciones, cuentos), que estén enunciados en forma clara, tengan repetición de palabras y apoyo visual y gestual, y estén relacionados con las funciones del año y con los siguientes temas:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA02,Identificar en los textos escuchados:,5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA03,"Escuchar textos orales en diversos formatos audiovisuales, usando las siguientes estrategias para apoyar la comprensión:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA04,"Reaccionar a los textos escuchados, expresando preferencias o haciendo conexiones con experiencias personales, en forma oral, escrita o a través de ilustraciones.",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA05,"Leer y demostrar comprensión de textos adaptados y auténticos simples no literarios, que contengan palabras de uso frecuente, familias de palabras, repetición de palabras y frases, estén acompañados de abundante apoyo visual y estén relacionados con los temas y las siguientes funciones del año:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA06,"Leer comprensivamente textos no literarios, como notas, postales, invitaciones, tarjetas de saludo, menús, recetas, diálogos, instrucciones o emails, identificando:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA07,"Leer comprensivamente textos literarios adaptados y auténticos simples como rimas, canciones y cuentos, que contengan palabras de uso frecuente, familias de palabras, repetición de palabras y frases y estén acompañados de abundante apoyo visual, identificando:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA08,"Reaccionar a los textos leídos, expresando preferencias o haciendo conexiones con experiencias personales, en forma oral, escrita o por medio de ilustraciones.",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.039334
IN05OA09,"Usar las siguientes estrategias para apoyar la comprensión de los textos leídos, tanto en formato digital como impreso:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA10,"Reproducir y producir monólogos, canciones, rimas y diálogos para comenzar a identificar y familiarizarse con los sonidos propios del idioma.",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA11,"Expresarse oralmente, ya sea en diálogos, presentaciones o actividades grupales, con apoyo de lenguaje visual y/o digital, en torno a los temas del año.",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA12,Participar en diálogos con pares y profesores al realizar las siguientes funciones:,5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA13,Demostrar conocimiento y uso del vocabulario aprendido:,5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA14,"Completar y escribir, de acuerdo a un modelo y con apoyo de lenguaje visual, textos no literarios (como postales, mini libros, listas de compras) y textos literarios (como rimas, tiras cómicas) con el propósito de compartir información en torno a los temas del año.",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA15,Escribir para realizar las siguientes funciones:,5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN05OA16,"Utilizar los pasos del proceso de escritura (organización de ideas, escritura, corrección y publicación), recurriendo a herramientas como diccionario en línea y procesador de texto, para:",5B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/5-basico?priorizacion=0,2025-07-07T16:41:44.040340
IN06OA01,"Escuchar y demostrar comprensión de información explícita en textos adaptados y auténticos simples, tanto no literarios (textos expositivos, diálogos) como literarios (rimas, poemas, canciones, cuentos) que estén enunciados en forma clara, tengan repetición de palabras y apoyo visual y gestual, y estén relacionados con las funciones del año y los siguientes temas:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.186595
IN06OA02,Identificar en los textos escuchados:,6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA03,"Escuchar textos orales en diversos formatos audiovisuales, usando las siguientes estrategias para apoyar la comprensión:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA04,"Reaccionar a los textos escuchados, expresando opiniones y sentimientos o haciendo conexiones con experiencias personales, en forma oral o escrita.",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA05,"Leer y demostrar comprensión de textos adaptados y auténticos simples, no literarios, que contengan palabras de uso frecuente, familias de palabras y repetición de frases, y estén acompañados de apoyo visual y relacionados con los temas y las siguientes funciones del año:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA06,"Leer comprensivamente textos no literarios, como notas, postales, invitaciones, tarjetas de saludo, menús, recetas, instrucciones, avisos publicitarios, emails, diálogos o textos expositivos, identificando:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA07,"Leer comprensivamente textos literarios adaptados y auténticos simples, como rimas, poemas, tiras cómicas y cuentos, que contengan palabras de uso frecuente, familias de palabras, repetición de frases y estén acompañados de apoyo visual, identificando:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA08,"Reaccionar a los textos leídos, expresando opiniones y sentimientos o haciendo conexiones con experiencias personales, en forma oral o escrita.",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA09,"Usar las siguientes estrategias para apoyar la comprensión de los textos leídos, tanto en formato digital como impreso:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA10,"Reproducir y producir textos orales, como monólogos, canciones, poemas, adivinanzas y diálogos, para identificar y familiarizarse con los sonidos propios del idioma, como, ch/sh en palabras como chip/ship; b/v en palabras como boat/vote.",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.187594
IN06OA11,"Expresarse oralmente, ya sea en diálogos, presentaciones o actividades grupales, con apoyo visual y/o digital, en torno a los temas del año.",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
IN06OA12,Participar en diálogos con pares y profesores al realizar las siguientes funciones:,6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
IN06OA13,Demostrar conocimiento y uso del vocabulario aprendido:,6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
IN06OA14,"Escribir, de acuerdo a un modelo y con apoyo de lenguaje visual, textos no literarios (como email, postal, agenda, invitación) y textos literarios (como cuentos, rimas, tiras cómicas) con el propósito de compartir información en torno a los temas del año.",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
IN06OA15,Escribir para realizar las siguientes funciones:,6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
IN06OA16,"Utilizar los pasos del proceso de escritura (organización de ideas, escritura, corrección y publicación), recurriendo a herramientas como diccionario en línea y procesador de texto, para:",6B,ING,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ingles/6-basico?priorizacion=0,2025-07-07T16:41:45.188600
