oa_code,oa_desc,grade,subject,source_url,scraped_at
MU01OA01,"Escuchar cualidades del sonido (altura, timbre, intensidad, duración) y elementos del lenguaje musical (pulsos, acentos, patrones, secciones) y representarlos de distintas formas.",1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.488463
MU01OA02,"Expresar sensaciones, emociones e ideas que les sugiere el sonido y la música escuchada, usando diversos medios expresivos (verbal, corporal, musical, visual).",1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.488463
MU01OA03,"Escuchar música en forma abundante de diversos contextos y culturas poniendo énfasis en: Tradición escrita (docta), piezas instrumentales y vocales de corta duración (por ejemplo, piezas del ""Álbum para la juventud"" de R. Schumann, piezas de ""Juguetería"" de P. Bisquert); Tradición oral (folclor, música de pueblos originarios), canciones, rondas, bailes y versos rítmicos; Popular (jazz, rock, fusión, etcétera) poniendo énfasis en música infantil (por ejemplo canciones como ""El Negro Cirilo"" y Videos como ""Los Gorrioncitos"" de Tikitiklip). Escuchar apreciativamente al menos 20 músicas variadas de corta duración al año.",1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.488463
MU01OA04,Cantar al unísono y tocar instrumentos de percusión convencionales y no convencionales.,1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.488463
MU01OA05,"Explorar e improvisar ideas musicales con diversos medios sonoros (la voz, instrumentos convencionales y no convencionales, entre otros), utilizando las cualidades del sonido y elementos del lenguaje musical.",1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.489466
MU01OA06,"Presentar su trabajo musical, en forma individual y grupal, compartiendo con el curso y la comunidad.",1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.489466
MU01OA07,Identificar y describir experiencias musicales y sonoras en su propia vida.,1B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/1-basico?priorizacion=0,2025-07-07T16:40:59.489466
MU02OA01,"Escuchar cualidades del sonido (altura, timbre, intensidad, duración) y elementos del lenguaje musical (pulsos, acentos, patrones, secciones) y representarlos de distintas formas.",2B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/2-basico?priorizacion=0,2025-07-07T16:41:00.644599
MU02OA02,"Expresar sensaciones, emociones e ideas que les sugiere el sonido y la música escuchada, usando diversos medios expresivos (verbal, corporal, musical, visual).",2B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/2-basico?priorizacion=0,2025-07-07T16:41:00.644599
MU02OA03,"Escuchar música en forma abundante de diversos contextos y culturas poniendo énfasis en: Tradición escrita (docta), piezas instrumentales y/o vocales de corta duración (por ejemplo, danzas medievales, selección del "" Cuaderno de A.M. Bach"", selección del ballet ""Cascanueces"" de P.I. Tchaikowsky); Tradición oral (folclor, música de pueblos originarios), canciones, rondas, bailes y versos rítmicos; Popular (jazz, rock, fusión, etcétera) poniendo énfasis en música infantil (por ejemplo, canciones como ""La Elefanta Fresia"" y música de películas como ""El Libro de la Selva"" y ""El Rey León""). Escuchar apreciativamente al menos 20 músicas variadas de corta duración al año.",2B,MUS,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/musica/2-basico?priorizacion=0,2025-07-07T16:41:00.644599
