oa_code,oa_desc,grade,subject,source_url,scraped_at
TE01OA01,"Crear diseños de objetos tecnológicos, a partir de sus propias experiencias y representando sus ideas, a través de dibujo a mano alzada o modelos concretos, y con orientación del profesor.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.613956
TE01OA02,"Distinguir las tareas para elaborar un objeto tecnológico, identificando los materiales y las herramientas necesarios en cada una de ellas para lograr el resultado deseado.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.613956
TE01OA03,Crear un objeto tecnológico.,1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.613956
TE01OA04,"Probar y explicar los resultados de los trabajos propios y de otros, de forma individual o en equipos, dialogando sobre sus ideas e identificando lo que podría hacerse de otra manera.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.615295
TE01OA05,"Usar software de dibujo para crear y representar ideas por medio de imágenes, guiados por el docente.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.615295
TE01OA06,"Explorar y usar una variedad de software educativos (simuladores, libros digitales, interactivos y creativos, entre otros) para lograr aprendizajes significativos y una interacción apropiada con las TIC.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T15:48:38.615295
OR01OA01,"Observar, describir y valorar sus características personales, sus habilidades e intereses.",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.761972
OR01OA02,"Identificar emociones experimentadas por ellos y por los demás (por ejemplo, pena, rabia, miedo, alegría) y distinguir diversas formas de expresarlas.",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.762975
OR01OA03,"Observar, describir y valorar las expresiones de afecto y cariño, que dan y reciben, en los ámbitos familiar, escolar y social (por ejemplo, compartir tiempo, escuchar a los demás, dar y recibir ayuda).",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.762975
OR01OA04,"Identificar y practicar, en forma guiada, conductas protectoras y de autocuidado en relación a:rutinas de higiene; actividades de descanso, recreación y actividad física; hábitos de alimentación; resguardo del cuerpo y la intimidad; la entrega de información personal.",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.762975
OR01OA05,"Manifestar actitudes de solidaridad y respeto, que favorezcan la convivencia, como: utilizar formas de buen trato (por ejemplo, saludar, despedirse, pedir por favor); actuar en forma respetuosa (por ejemplo, escuchar, respetar turnos, rutinas y pertenencias); compartir con los pares (por ejemplo, jugar juntos, prestarse útiles, ayudar al que lo necesita).",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.763983
OR01OA06,"Identificar conflictos que surgen entre pares y practicar formas de solucionarlos como escuchar al otro, ponerse en su lugar, buscar un acuerdo, reconciliarse.",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.763983
OR01OA07,"Reconocer, describir y valorar sus grupos de pertenencia (familia, curso, pares), las personas que los componen y sus características, y participar activamente en ellos (por ejemplo, ayudando en el orden de la casa y sala de clases).",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.763983
OR01OA08,"Practicar hábitos y actitudes que favorezcan el proceso de aprendizaje, como: traer y cuidar los útiles escolares;mantener el orden de la sala de clases y materiales; identificar los nuevos aprendizajes adquiridos para incentivar la motivación.",1B,ORI,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/orientacion/1-basico?priorizacion=0,2025-07-07T15:48:39.765024
