oa_code,oa_desc,grade,subject,source_url,scraped_at
TE01OA01,"Crear diseños de objetos tecnológicos, a partir de sus propias experiencias y representando sus ideas, a través de dibujo a mano alzada o modelos concretos, y con orientación del profesor.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.559516
TE01OA02,"Distinguir las tareas para elaborar un objeto tecnológico, identificando los materiales y las herramientas necesarios en cada una de ellas para lograr el resultado deseado.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.559516
TE01OA03,Crear un objeto tecnológico.,1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.560522
TE01OA04,"Probar y explicar los resultados de los trabajos propios y de otros, de forma individual o en equipos, dialogando sobre sus ideas e identificando lo que podría hacerse de otra manera.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.560522
TE01OA05,"Usar software de dibujo para crear y representar ideas por medio de imágenes, guiados por el docente.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.560522
TE01OA06,"Explorar y usar una variedad de software educativos (simuladores, libros digitales, interactivos y creativos, entre otros) para lograr aprendizajes significativos y una interacción apropiada con las TIC.",1B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/1-basico?priorizacion=0,2025-07-07T16:41:10.560522
TE02OA01,"Crear diseños de objetos tecnológicos, representando sus ideas a través de dibujos a mano alzada o modelos concretos, desde ámbitos cercanos y tópicos de otras asignaturas, con orientación del profesor.",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:41:11.708522
TE02OA02,"Organizar las tareas para elaborar un objeto tecnológico, distinguiendo las acciones, los materiales y las herramientas necesarias para lograr el resultado deseado.",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:41:11.708522
TE02OA03,"Elaborar un objeto tecnológico según indicaciones del profesor, seleccionando y experimentando con:",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:41:11.708522
TE02OA04,"Probar y explicar los resultados de los trabajos propios y de otros, de forma individual o en equipos, dialogando sobre sus ideas y señalando cómo podría mejorar el trabajo en el futuro.",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:41:11.708522
TE02OA05,Usar software de dibujo para crear y representar diferentes ideas por medio de imágenes.,2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:41:11.708522
